age,gender,socioeconomic_status,region,high_school_score,GPA,credits_completed,failures,attendance_rate,assignment_submission_rate,commute_time_minutes,peer_interaction_score,program_duration_months,dropout_score,dropout_flag
23,Female,3,3,72,3.904096544,98,2,64.85874831,94.81303761,9.956180593,60.36931928,12,12.8062947,0
27,Female,1,3,76,2.365137361,79,0,79.32287833,94.97969324,37.43798454,66.44046394,36,4.888470349,0
25,Male,3,3,65,2.359811167,45,1,100,67.50404638,48.69731057,63.62318117,24,4.874393044,0
26,Male,1,2,68,3.252629273,97,0,82.33247868,70.89674299,56.32176505,84.58898474,24,10.89899281,0
26,Male,1,2,80,2.41910718,104,1,85.10799702,100,66.14537493,20.62418151,24,17.9784006,1
28,Female,2,1,70,2.505427925,58,1,61.55249376,55.84865325,13.43974684,37.08807055,24,22.31220326,1
29,Male,1,1,60,1.762595707,116,1,89.62009026,65.85725046,52.77980706,67.89642088,12,9.571437307,0
19,Female,2,3,81,1.937929415,102,1,100,57.47369532,41.96956008,44.71119737,24,6.999651554,0
23,Female,2,3,86,1.598312397,51,0,90.84922397,100,48.81415811,67.32958872,36,5.847031235,0
17,Male,2,2,85,2.151210765,106,0,96.56769432,55.88354815,41.88685109,58.33220607,36,10.30392891,0
20,Female,3,1,82,1.87114528,45,0,63.99117825,94.63215449,26.48460859,20.63683831,48,14.29548838,0
29,Male,1,1,67,1.72363568,72,2,90.63736896,43.20729109,42.0185572,50.98296735,36,13.15507575,0
20,Female,1,3,60,2.255609801,24,1,75.25393871,77.5922833,38.14116933,73.61592897,12,8.310369763,0
21,Female,2,2,58,3.176270102,0,0,96.86206098,100,31.43232308,26.60662957,6,5.627587804,0
23,Male,1,1,56,1.700592677,82,0,100,62.54429952,9.034788076,60.4461675,48,8.6124283,0
23,Female,1,1,69,2.752770321,76,3,81.58054003,80.14676597,2,29.76881712,36,11.6618771,0
29,Female,2,2,87,3.127163997,10,1,93.06893334,88.11572438,36.39271867,93.36540351,36,3.168854674,0
27,Male,2,3,53,1.514246453,46,0,80.85604813,71.5402606,32.86442396,37.60030772,36,17.95528676,1
29,Male,2,3,70,1.701559993,3,0,83.01752329,98.1895138,31.04457956,34.87106763,24,11.65246834,0
20,Male,1,2,66,3.773021554,78,3,96.65136937,100,33.52715955,90.87689694,24,0.669726126,0
29,Female,3,2,58,2.680407982,39,2,93.95286044,77.6435394,40.41738835,57.16090252,36,7.562897003,0
23,Male,2,2,67,2.89422894,11,2,61.23555258,89.28588779,12.94244886,68.37582234,12,9.360006316,0
27,Male,2,1,82,2.149728536,119,0,65.67390458,100,36.71119932,91.66303704,12,9.865219084,0
19,Male,3,2,72,2.169643412,22,4,100,53.23528925,47.89342806,77.14791039,24,17.01470661,1
22,Male,1,3,76,1.065166743,68,0,90.71266167,73.83024272,48.17521767,48.59273975,6,15.13126383,1
28,Female,2,1,80,2.161671193,98,2,93.27357152,78.36170582,42.18251664,41.90539114,6,4.591029823,0
18,Female,2,2,73,3.160346482,86,1,78.89119233,83.54056897,39.13860594,78.58983364,24,6.69067619,0
26,Female,1,2,66,2.199405605,14,2,80.49948524,65.25060651,28.04171075,40.60294367,12,14.11251197,0
29,Female,2,2,71,3.906298799,4,1,74.34041015,86.60407358,33.90473371,47.67151434,36,10.14130693,0
25,Female,3,3,59,2.225281969,5,2,94.26279657,100,34.87100073,64.33030899,24,1.147440686,0
21,Male,2,3,70,1.306016548,13,0,96.36045912,65.08038879,40.45222464,63.51071461,48,12.90568437,0
22,Male,2,3,71,3.0284586,75,1,100,43.66734193,32.0168764,76.2539392,24,13.44989871,0
28,Male,2,1,83,3.315123225,58,3,88.96831322,41.20759547,30.15305155,47.61378713,36,11.02519804,0
28,Female,2,3,66,1.939291568,80,1,71.9174543,93.44460464,20.74156175,54.92283334,24,10.20690276,0
28,Female,2,2,66,3.266391288,110,1,80.63557941,62.40044172,10.60709941,71.99315608,36,12.51281786,0
28,Male,2,3,54,2.153377527,55,2,92.87235143,95.37447538,27.67414801,97.07273979,48,7.119358408,0
20,Male,2,1,76,3.484301012,41,1,76.67829259,69.25784844,40.54018436,52.43430883,24,12.27566422,0
27,Male,2,3,55,3.228541379,70,2,81.94058785,42.15978707,20.37445978,63.29232362,36,15.28791437,1
26,Female,2,1,65,2.571036926,84,0,72.10456133,89.06418778,31.78738449,73.57533456,48,7.219459567,0
23,Female,2,2,62,3.189434613,108,0,72.93111371,72.34666319,44.4789276,22.46794961,36,14.56177778,0
28,Male,2,1,78,3.196693456,95,0,74.59816289,72.76713416,6.998877652,79.13722472,48,9.165297298,0
25,Female,3,3,74,4,113,2,90.89925148,33.56180696,24.56886792,54.96578812,24,11.78587866,0
23,Female,1,2,77,2.487562205,8,0,74.18636335,100,11.75754424,77.13115756,12,5.162727331,0
17,Male,2,3,63,1.994805067,62,0,65.84836412,93.01564076,15.14350426,33.03037768,12,12.92993039,0
25,Female,3,2,61,3.000965412,9,0,83.0635415,55.45543166,22.09864778,41.86997358,12,10.06897695,0
27,Male,2,2,53,2.127848368,112,3,85.83809806,60.8061411,2,43.79328773,24,11.71145922,0
25,Male,2,3,71,2.049647548,17,1,92.7646132,85.26613372,60.7724769,49.95696616,6,8.6571573,0
20,Male,2,2,62,2.476667232,91,0,64.45364994,79.04755881,28.80327562,57.40579985,12,10.25213619,0
29,Female,2,3,74,3.880782443,2,5,100,79.28846854,42.73046888,66.92556498,36,16.10672972,1
25,Female,2,1,81,1.80372898,83,2,83.42867373,70.87690112,23.56381789,42.54472013,24,9.645440285,0
19,Female,1,1,79,1.204304949,43,1,97.58174523,59.97064323,42.32124459,70.46041481,48,17.44500498,1
23,Male,1,3,71,3.78658899,117,0,81.73471824,49.83772397,37.77260047,94.45022436,6,14.17739776,0
22,Male,1,1,70,2.937426498,14,0,88.30825526,79.3545082,2,62.1781738,12,5.435172717,0
24,Female,2,3,69,1.261242226,28,2,90.85321361,100,44.56432477,68.30616133,48,14.21693502,0
27,Male,1,2,91,2.205764885,77,1,83.30501195,82.94964036,14.20223712,70.55265933,36,10.89655156,0
25,Female,2,1,64,2.90230749,30,3,69.26180367,74.71823104,61.06192617,36.09177831,24,19.93990461,1
21,Male,2,2,70,2.374155256,99,1,88.46909225,80.70872545,48.204212,78.80266556,48,5.199872733,0
17,Female,1,3,68,2.113492819,47,1,100,44.76205544,42.47973964,92.56094863,48,8.285691685,0
19,Female,1,3,62,2.594385764,27,1,100,94.16744157,35.83458945,75.91390487,36,0.874883765,0
26,Female,1,1,66,4,56,1,76.38115671,81.56131715,38.54293839,53.01332001,12,15.48957108,1
28,Male,1,2,70,2.343834423,91,2,79.21625048,94.01530151,40.98691016,76.21796181,6,5.054454678,0
24,Female,1,3,58,2.083741911,3,1,100,86.78073296,45.12770644,75.44147152,48,4.982890057,0
27,Male,3,3,86,2.419945111,110,3,88.75487805,91.53747779,12.14848847,37.13234675,36,11.51840272,0
22,Female,3,2,77,2.054998014,46,2,70.16006408,100,49.36627043,47.62866379,24,5.967987184,0
24,Male,2,2,80,1.251957646,10,0,84.56397632,51.04784369,21.04349614,44.03411762,24,20.91045172,1
25,Female,1,3,68,2.447301613,50,2,95.31836817,68.5215924,33.25382479,28.20112316,24,10.65808751,0
20,Male,2,2,66,2.413574685,78,3,78.35018418,91.53003636,46.54045806,29.49456096,24,10.60045771,0
17,Female,1,1,67,1.990318204,78,0,60.48429064,79.95396618,32.87781909,68.83014764,48,14.0068649,0
17,Female,1,2,63,1.908323015,60,1,80.31016584,59.56207939,55.87125538,25.40404308,24,15.92042477,1
26,Male,2,1,82,2.187271481,13,0,76.76166385,69.40354746,54.98201201,59.35984517,12,9.237135111,0
20,Female,2,2,83,3.576300526,1,1,52.73094904,81.23962051,12.68769255,60.87407104,6,20.26786712,1
28,Male,1,3,75,4,64,1,97.80437892,74.6019238,34.26486552,74.97120227,12,4.248835646,0
23,Other,2,3,86,3.098701923,21,0,100,48.72774555,41.49945531,54.65421769,48,10.69083817,0
18,Female,1,2,93,2.327111442,56,0,80.46484521,100,41.77621731,76.12870607,6,3.907030957,0
19,Other,1,2,88,1.769030066,65,1,63.41005756,78.70104592,36.20421641,43.82655707,48,12.82253094,0
17,Male,2,3,65,2.322702788,64,1,90.45401481,74.98177516,20.78639813,100,24,5.661930764,0
21,Male,1,2,45,3.795790443,10,1,90.51480302,100,17.11745377,62.02022666,36,4.897039395,0
17,Female,2,3,77,2.957911027,92,2,78.33480238,73.62725662,44.76946307,69.25562144,24,13.28895103,0
24,Female,2,3,74,3.044562096,0,3,92.44555844,100,25.85204185,52.5791244,36,1.510888313,0
27,Male,3,1,67,2.752843596,13,0,63.84024481,75.63303639,19.56039826,89.8057807,24,10.88699558,0
17,Male,2,1,83,3.037811488,34,0,83.18829035,92.74902563,10.31758555,46.58210669,12,9.449988087,0
18,Female,2,1,54,2.325756476,2,2,95.90296155,100,15.43713701,66.52595816,24,5.81940769,0
18,Female,1,3,85,1.448227267,52,0,73.95485455,45.11164677,23.44810517,84.58426059,12,18.96000941,1
28,Male,1,3,87,2.361673042,94,1,93.42090675,56.45150324,43.17441379,100,48,10.84809316,0
22,Male,1,2,71,1.286126956,101,2,84.70314365,94.16305628,30.19083546,95.35914634,6,16.07364327,1
23,Female,2,1,72,3.013347038,29,3,77.68641011,68.54004358,43.31367897,49.20562878,24,9.181711443,0
21,Male,1,3,58,2.182742673,34,2,63.32086996,100,24.98325602,42.30569046,6,7.335826007,0
17,Female,1,2,80,2.980098018,53,0,83.70076958,65.1865345,19.38931908,46.75696528,48,11.48186591,0
17,Male,3,2,82,2.512472178,88,0,91.54528108,64.13953123,12.8223719,85.82186651,36,15.0700141,1
19,Female,2,1,77,3.612383669,62,0,90.52622848,100,34.80898284,36.35025218,36,6.894754304,0
18,Female,2,1,57,2.95206329,53,0,83.8978645,59.32264762,38.589944,67.42201622,12,9.322029957,0
21,Female,1,1,53,3.501348843,6,1,92.76178635,78.99994628,21.85386705,71.74834814,48,9.597650789,0
28,Male,3,3,67,2.993979364,99,1,47.8940782,66.90480482,14.74228933,59.63579532,12,15.38546364,1
26,Female,1,3,70,1.886126215,104,0,100,37.75023768,18.67688449,34.97188393,36,23.4762022,1
22,Male,1,1,80,1.652279416,35,1,95.39071642,100,21.80207308,95.58580134,12,9.399062558,0
23,Female,1,2,67,3.222061049,33,1,64.97803747,55.47460244,37.84934711,76.22850454,24,13.68320214,0
20,Male,3,3,80,2.706806928,68,3,100,100,31.20072867,90.80948109,24,0,0
23,Female,1,3,81,1.735414818,106,4,81.94900071,80.2349911,16.68068657,80.12706138,48,19.22080301,1
27,Male,2,1,74,2.390043245,15,3,76.51908827,100,12.59267556,76.53991341,48,4.696182346,0
24,Male,2,3,78,2.321652339,9,0,73.97482656,65.94812739,25.854293,72.94641441,48,13.31281558,0
27,Male,3,1,65,3.386780365,40,0,100,63.50551769,44.11867378,67.11418299,48,8.474172347,0
17,Female,2,3,58,2.385572232,49,1,57.72895228,73.57511838,16.51546673,22.55825837,48,17.41794179,1
22,Other,1,2,64,2.802307029,47,0,80.65669773,100,58.9166403,62.3313791,48,3.868660455,0
24,Male,3,3,61,2.322419864,70,1,93.59110798,74.58236426,30.39663188,56.06088903,12,5.094423765,0
21,Male,1,1,82,2.032657351,85,0,84.34985085,81.51790355,7.725624706,63.07775871,12,5.902344297,0
20,Male,2,2,78,3.325132926,76,1,96.10367209,85.36664193,45.55508049,53.25219273,6,2.974269292,0
18,Male,1,2,49,2.131978597,108,1,100,87.92217115,37.26241624,100,12,1.811674327,0
22,Female,2,1,71,3.077164922,69,0,74.44219331,84.88131271,48.71954889,64.00811939,36,7.379364432,0
22,Male,1,2,52,3.524761954,114,1,77.52475725,100,45.3959777,54.5605099,6,7.49504855,0
27,Female,1,3,59,2.880922948,114,1,100,100,46.38527958,65.96152685,24,0,0
17,Female,1,2,78,2.109458643,23,1,83.21180324,46.829344,22.90683599,22.68485809,12,21.33323775,1
